Model,AUC_CV,F1_CV_mean,F1_CV_std,Sensitivity,Specificity,CV
Logistic L1,0.976612996570231,0.9302406900016132,0.015142866306540036,0.9079445145018915,0.9323671497584541,5-fold Stratified OOF
XGBoost,0.9978190812118112,0.998115179117131,0.002514740383689031,1.0,0.9855072463768116,5-fold Stratified OOF
