Model,R2_mean,R2_std,RMSE_mean,RMSE_std,CV
Elastic Net,-0.007681981984872984,0.009074906071263192,20.158467896102994,0.6094539155982721,5-fold×3
XGBoost,-0.1736666440963745,0.057546123813802044,21.742934411260574,0.6595598927116545,5-fold×3
